UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
PE,ABREU E LIMA,31146,15770,0,692,143,1322,1579,0,383,93,9841,345,358,0,376,158,0,0,0,3,6,77
PE,AFOGADOS DA INGAZEIRA,20659,6332,0,505,23,1490,309,0,478,113,9842,939,101,0,395,45,1,0,0,0,6,80
PE,AFRANIO,5372,907,0,220,11,395,43,0,6,19,3497,186,26,0,34,23,0,0,0,0,0,5
PE,AGRESTINA,7660,3175,0,213,17,479,132,0,26,49,2769,559,35,0,158,27,0,1,0,0,1,19
PE,AGUA PRETA,5398,1957,0,176,0,186,83,0,114,83,2270,278,86,0,148,4,0,0,0,0,1,12
PE,AGUAS BELAS,9848,2420,0,374,31,669,78,0,16,104,5241,672,72,0,59,84,0,0,0,0,1,27
PE,ALAGOINHA,3171,1332,0,152,7,247,64,0,55,67,1140,45,20,0,28,10,0,0,0,0,2,2
PE,ALIANCA,7922,3444,0,168,21,342,165,0,190,31,2860,355,142,0,165,18,0,0,0,0,1,20
PE,ALTINHO,4839,1709,0,114,6,302,102,0,10,78,1979,395,41,0,74,13,0,0,0,0,2,14
PE,AMARAJI,3773,1340,0,148,7,283,57,0,21,31,1618,138,58,0,45,10,0,0,0,0,1,16
PE,ANGELIM,2149,917,0,59,11,203,23,0,5,45,760,70,10,0,21,22,0,0,0,0,0,3
PE,ARACOIABA,3553,1436,0,101,3,152,157,0,127,44,1315,75,104,0,33,1,0,0,0,0,3,2
PE,ARARIPINA,33446,7520,0,1087,113,1977,241,0,32,106,18951,2822,90,0,221,155,1,2,0,0,56,72
